,Team,Year,W,L,Pct,Attend,Payroll,OPS,ERA
99,Minnesota Twins,2016,59,103,0.3641975308641976,1963912,104591200,0.738,5.08
100,Texas Rangers,2016,95,67,0.5864197530864198,2710402,161246720,0.755,4.37
101,Seattle Mariners,2016,86,76,0.5308641975308642,2267928,144996858,0.7559999999999999,4.0
102,Houston Astros,2016,84,78,0.5185185185185185,2306623,96643000,0.735,4.06
103,Los Angeles Angels,2016,74,88,0.4567901234567901,3016142,166831190,0.726,4.28
104,Oakland Athletics,2016,69,93,0.4259259259259259,1521506,85823390,0.6990000000000001,4.51
105,Washington Nationals,2016,95,67,0.5864197530864198,2481938,146686385,0.7509999999999999,3.51
106,New York Mets,2016,87,75,0.5370370370370371,2789602,130612115,0.733,3.57
107,Miami Marlins,2016,79,82,0.4906832298136646,1712417,70464500,0.716,4.05
108,Philadelphia Phillies,2016,71,91,0.4382716049382716,1915144,103346668,0.685,4.63
109,Atlanta Braves,2016,68,93,0.42236024844720504,2020914,84821541,0.705,4.51
110,Chicago Cubs,2016,103,58,0.639751552795031,3232420,167444167,0.772,3.15
111,St. Louis Cardinals,2016,86,76,0.5308641975308642,3444490,149186000,0.767,4.08
112,Pittsburgh Pirates,2016,78,83,0.484472049689441,2249201,99960499,0.7340000000000001,4.21
113,Milwaukee Brewers,2016,73,89,0.4506172839506173,2314614,62964319,0.7290000000000001,4.08
114,Cincinnati Reds,2016,68,94,0.41975308641975306,1894085,93171452,0.7240000000000001,4.91
115,Los Angeles Dodgers,2016,91,71,0.5617283950617284,3703312,253639162,0.728,3.7
116,San Francisco Giants,2016,87,75,0.5370370370370371,3365256,171464943,0.728,3.65
117,Colorado Rockies,2016,75,87,0.462962962962963,2602524,113242571,0.794,4.91
118,Arizona Diamondbacks,2016,69,93,0.4259259259259259,2036216,98657436,0.752,5.09
119,San Diego Padres,2016,68,94,0.41975308641975306,2351422,100547000,0.6890000000000001,4.43
120,Toronto Blue Jays,2015,93,69,0.5740740740740741,2794891,116415800,0.797,3.8
121,New York Yankees,2015,87,75,0.5370370370370371,3193795,213472857,0.7440000000000001,4.03
122,Baltimore Orioles,2015,81,81,0.5,2281202,118862632,0.728,4.05
123,Tampa Bay Rays,2015,80,82,0.4938271604938271,1287054,74849584,0.72,3.74
124,Boston Red Sox,2015,78,84,0.4814814814814815,2880694,168691914,0.74,4.31
125,Kansas City Royals,2015,95,67,0.5864197530864198,2708549,112914525,0.7340000000000001,3.73
126,Minnesota Twins,2015,83,79,0.5123456790123457,2220054,108262000,0.7040000000000001,4.07
127,Cleveland Indians,2015,81,80,0.5031055900621118,1388905,87746766,0.725,3.67
128,Chicago White Sox,2015,76,86,0.4691358024691358,1755810,110712866,0.6859999999999999,3.98
129,Detroit Tigers,2015,74,87,0.4596273291925466,2726048,172792250,0.748,4.64
130,Texas Rangers,2015,88,74,0.5432098765432098,2491875,144816873,0.7390000000000001,4.24
131,Houston Astros,2015,86,76,0.5308641975308642,2153585,69064200,0.752,3.57
132,Los Angeles Angels,2015,85,77,0.5246913580246914,3012765,146449583,0.7020000000000001,3.94
133,Seattle Mariners,2015,76,86,0.4691358024691358,2193581,123225842,0.722,4.16
134,Oakland Athletics,2015,68,94,0.41975308641975306,1768175,80786666,0.7070000000000001,4.14
135,New York Mets,2015,90,72,0.5555555555555556,2569753,100133953,0.7120000000000001,3.43
136,Washington Nationals,2015,83,79,0.5123456790123457,2619843,174510977,0.7240000000000001,3.62
137,Miami Marlins,2015,71,91,0.4382716049382716,1752235,84637500,0.6940000000000001,4.02
138,Atlanta Braves,2015,67,95,0.41358024691358025,2001392,89622648,0.674,4.41
139,Philadelphia Phillies,2015,63,99,0.3888888888888889,1831080,133048000,0.684,4.69
